name,type,degree
Back to the Future Part III,电影,18
The Californians,电影,18
The Borrowers,电影,18
Ride with the Devil,电影,18
Tango,电影,18
The Fighter,电影,18
Kristen Wiig,演员,18
Gracie,电影,18
Rebecca,电影,18
3000 Miles to Graceland,电影,18
Casino,电影,18
Billy Bob Thornton,演员,18
Bangkok Dangerous,电影,18
Miracle at St. Anna,电影,18
Donald Sutherland,演员,18
Richard Gere,演员,18
Carriers,电影,18
The Protector,电影,18
Jim,关键词,18
Dick Tracy,电影,18
Taking Woodstock,电影,18
Race,电影,18
The Man from Snowy River,电影,18
Das Boot,电影,18
The Adventures of Ford Fairlane,电影,18
Stoker,电影,18
A Good Year,电影,18
Indiana Jones and the Kingdom of the Crystal Skull,电影,18
Terminator Genisys,电影,18
Shrek the Third,电影,18
Terminator 3: Rise of the Machines,电影,18
On the Line,电影,18
Cuba Gooding Jr.,演员,18
Night at the Museum: Battle of the Smithsonian,电影,18
Joe Dirt,电影,18
Deuces Wild,电影,18
Teenage Mutant Ninja Turtles,电影,18
Spice World,电影,18
Texas Rangers,电影,18
The Curse of the Jade Scorpion,电影,18
The Hunger Games,电影,18
Ghost Ship,电影,18
Drive Angry,电影,18
Zooey Deschanel,演员,18
Ink,电影,18
The Hunted,电影,18
Courageous,电影,18
Iron Man,电影,18
Terrence Howard,演员,18
Marisa Tomei,演员,18
Ice Age,电影,18
She's the Man,电影,18
Shrek 2,电影,18
Cleopatra,电影,18
Johnny English Reborn,电影,18
Creepshow,电影,18
Hellboy II: The Golden Army,电影,18
Time Bandits,电影,18
The Brave Little Toaster,电影,18
Eden,电影,18
Flame & Citron,电影,18
All Hat,电影,18
Battlefield Earth,电影,18
The Island,电影,18
"War, Inc.",电影,18
Back to the Future,电影,18
Split Second,电影,18
The Guard,电影,18
Rango,电影,18
Salt,电影,18
Frida,电影,18
Machete,电影,18
Inherent Vice,电影,18
Opal Dream,电影,18
The Hitchhiker's Guide to the Galaxy,电影,18
Down to You,电影,18
Ravenous,电影,18
My Super Ex-Girlfriend,电影,18
Winnie the Pooh,电影,18
Nixon,电影,18
Love Me Tender,电影,18
Taken,电影,18
The Hole,电影,18
Bubba Ho-tep,电影,18
54,电影,18
Rugrats Go Wild,电影,18
Mystery Men,电影,18
The Other Side of Heaven,电影,18
Austin Powers: The Spy Who Shagged Me,电影,18
Godzilla 2000,电影,18
Megamind,电影,18
John Turturro,演员,18
The Adventures of Rocky & Bullwinkle,电影,18
Kick-Ass 2,电影,18
Spy Kids 3-D: Game Over,电影,18
Kids,电影,18
Joaquin Phoenix,演员,18
Star Trek: Generations,电影,18
Gladiator,电影,18
Zero Dark Thirty,电影,18
Viggo Mortensen,演员,18
Friday,电影,18
Tom Wilkinson,演员,18
Man on Fire,电影,18
Saints and Soldiers,电影,18
Trust the Man,电影,18
Pride and Prejudice and Zombies,电影,18
Underworld,电影,18
Tae Guk Gi: The Brotherhood of War,电影,18
Run All Night,电影,18
Bill & Ted's Bogus Journey,电影,18
Transformers: Dark of the Moon,电影,18
The Black Hole,电影,18
Epic Movie,电影,18
Orphan,电影,18
In Cold Blood,电影,18
The Smurfs,电影,18
Run Lola Run,电影,18
Running Scared,电影,18
Michelle Pfeiffer,演员,18
Sarah's Key,电影,18
Bond,关键词,18
Rachel McAdams,演员,18
Avatar,电影,18
Jason X,电影,18
Hannah Montana: The Movie,电影,18
Penélope Cruz,演员,18
Robin Hood,电影,18
Czech Republic,国家,18
Lara Croft Tomb Raider: The Cradle of Life,电影,18
The Negotiator,电影,18
RoboCop 3,电影,18
The Shadow,电影,18
My Own Private Idaho,电影,18
The Net,电影,18
Herbie Fully Loaded,电影,18
The Chronicles of Narnia: Prince Caspian,电影,18
Alice in Wonderland,电影,18
The Caveman's Valentine,电影,18
Battleship,电影,18
The Day After Tomorrow,电影,18
Dracula Untold,电影,18
The Messenger,电影,18
Ghost Rider,电影,18
John Q,电影,18
The Rite,电影,18
Chocolat,电影,18
The Untouchables,电影,18
U-571,电影,18
Proof of Life,电影,18
Time Changer,电影,18
Zathura: A Space Adventure,电影,18
The English Patient,电影,18
Saving Mr. Banks,电影,18
1911,电影,18
E.T. the Extra-Terrestrial,电影,18
The Crying Game,电影,18
The Flintstones in Viva Rock Vegas,电影,18
Kevin Kline,演员,18
The Patriot,电影,18
Super Mario Bros.,电影,18
Valley of the Wolves: Iraq,电影,18
The Wind That Shakes the Barley,电影,18
The Adventures of Pinocchio,电影,18
Moonraker,电影,18
Man of Steel,电影,18
Resident Evil: Afterlife,电影,18
The Pacifier,电影,18
Oliver!,电影,18
National Treasure,电影,18
Highway,电影,18
Ben,关键词,18
The Adventures of Huck Finn,电影,18
Tracker,电影,18
The Andromeda Strain,电影,18
Quantum of Solace,电影,18
Shinjuku Incident,电影,18
The Lone Ranger,电影,18
Spider-Man 3,电影,18
Pink Flamingos,电影,18
Alvin and the Chipmunks: The Road Chip,电影,17
Hit & Run,电影,17
Quest for Camelot,电影,17
Summer of Sam,电影,17
Underdogs,电影,17
The Terminator,电影,17
Bless the Child,电影,17
13 Hours: The Secret Soldiers of Benghazi,电影,17
I Am Number Four,电影,17
The Lucky Ones,电影,17
Jurassic World,电影,17
Ninja Assassin,电影,17
You Will Meet a Tall Dark Stranger,电影,17
Fast Five,电影,17
Fear and Loathing in Las Vegas,电影,17
Barbershop,电影,17
Scarface,电影,17
The Inhabited Island,电影,17
Saw,电影,17
Life of Pi,电影,17
Nanny McPhee,电影,17
Richard,关键词,17
The Santa Clause,电影,17
A Guy Named Joe,电影,17
A Room with a View,电影,17
Home Alone 2: Lost in New York,电影,17
War Horse,电影,17
The Boondock Saints,电影,17
The Dead Undead,电影,17
The Mist,电影,17
Payback,电影,17
Five,关键词,17
The Three Burials of Melquiades Estrada,电影,17
Curious George,电影,17
Mulholland Drive,电影,17
Cat on a Hot Tin Roof,电影,17
Percy Jackson & the Olympians: The Lightning Thief,电影,17
Loose Cannons,电影,17
Hugh Grant,演员,17
The Girl on the Train,电影,17
Red Riding: In the Year of Our Lord 1974,电影,17
The Pelican Brief,电影,17
Changing Lanes,电影,17
Varsity Blues,电影,17
The Artist,电影,17
Lifeforce,电影,17
Paul Blart: Mall Cop 2,电影,17
How to Lose Friends & Alienate People,电影,17
Black Knight,电影,17
A Passage to India,电影,17
The Way of the Gun,电影,17
Jab Tak Hai Jaan,电影,17
The Best Man,电影,17
The Tale of Despereaux,电影,17
Sheena,电影,17
Stone Cold,电影,17
Henry & Me,电影,17
Fifty Shades of Grey,电影,17
